biotype,run,rep,rate,control,biomass
R,I,1,0,0,0.58
R,I,2,0,0,0.54
R,I,3,0,0,0.41
R,I,4,0,0,0.5
R,I,1,13.125,5,0.5
R,I,2,13.125,5,0.64
R,I,3,13.125,10,0.47
R,I,4,13.125,10,0.72
R,I,1,26.25,15,0.52
R,I,2,26.25,10,0.54
R,I,3,26.25,15,0.51
R,I,4,26.25,10,0.24
R,I,1,52.5,20,0.44
R,I,2,52.5,15,0.23
R,I,3,52.5,20,0.36
R,I,4,52.5,15,0.38
R,I,1,105,20,0.32
R,I,2,105,25,0.34
R,I,3,105,25,0.28
R,I,4,105,20,0.31
R,I,1,210,30,0.5
R,I,2,210,35,0.36
R,I,3,210,20,0.47
R,I,4,210,25,0.2
R,I,1,420,40,0.21
R,I,2,420,50,0.12
R,I,3,420,45,0.04
R,I,4,420,40,0.47
R,I,1,840,75,0.27
R,I,2,840,80,0.08
R,I,3,840,60,0.08
R,I,4,840,70,0.06
R,I,1,1680,100,0.02
R,I,2,1680,85,0.04
R,I,3,1680,90,0.11
R,I,4,1680,90,0.01
R,II,1,0,0,0.56
R,II,2,0,0,0.41
R,II,3,0,0,0.66
R,II,4,0,0,0.73
R,II,1,13.125,5,0.49
R,II,2,13.125,5,0.56
R,II,3,13.125,3,0.72
R,II,4,13.125,3,0.4
R,II,1,26.25,10,0.42
R,II,2,26.25,8,0.43
R,II,3,26.25,10,0.64
R,II,4,26.25,8,0.44
R,II,1,52.5,15,0.4
R,II,2,52.5,20,0.85
R,II,3,52.5,20,0.38
R,II,4,52.5,18,0.67
R,II,1,105,20,0.4
R,II,2,105,25,0.24
R,II,3,105,25,0.41
R,II,4,105,25,0.3
R,II,1,210,35,0.28
R,II,2,210,30,0.36
R,II,3,210,25,0.55
R,II,4,210,35,0.5
R,II,1,420,50,0.26
R,II,2,420,60,0.16
R,II,3,420,90,0.34
R,II,4,420,40,0.68
R,II,1,840,70,0.17
R,II,2,840,85,0.16
R,II,3,840,90,0.34
R,II,4,840,99,0.28
R,II,1,1680,99,0.08
R,II,2,1680,99,0.18
R,II,3,1680,99,0.08
R,II,4,1680,100,0.08
S,I,1,0,0,0.59
S,I,2,0,0,0.95
S,I,3,0,0,0.4
S,I,4,0,0,0.39
S,I,1,13.125,40,0.27
S,I,2,13.125,35,0.26
S,I,3,13.125,40,0.2
S,I,4,13.125,40,0.18
S,I,1,26.25,90,0.12
S,I,2,26.25,85,0.15
S,I,3,26.25,95,0.22
S,I,4,26.25,85,0.14
S,I,1,52.5,100,0.01
S,I,2,52.5,99,0.01
S,I,3,52.5,100,0.01
S,I,4,52.5,100,0.01
S,I,1,105,100,0.01
S,I,2,105,100,0.01
S,I,3,105,100,0.01
S,I,4,105,100,0.01
S,I,1,210,100,0.01
S,I,2,210,100,0.01
S,I,3,210,100,0.01
S,I,4,210,100,0.01
S,I,1,420,100,0.01
S,I,2,420,100,0.01
S,I,3,420,100,0.01
S,I,4,420,100,0.01
S,I,1,840,100,0.01
S,I,2,840,100,0.01
S,I,3,840,100,0.01
S,I,4,840,100,0.01
S,I,1,1680,100,0.01
S,I,2,1680,100,0.01
S,I,3,1680,100,0.01
S,I,4,1680,100,0.01
S,II,1,0,0,0.58
S,II,2,0,0,0.39
S,II,3,0,0,0.5
S,II,4,0,0,0.43
S,II,1,13.125,20,0.37
S,II,2,13.125,25,0.25
S,II,3,13.125,30,0.19
S,II,4,13.125,25,0.28
S,II,1,26.25,50,0.21
S,II,2,26.25,60,0.06
S,II,3,26.25,80,0.05
S,II,4,26.25,60,0.18
S,II,1,52.5,80,0.13
S,II,2,52.5,85,0.15
S,II,3,52.5,85,0.12
S,II,4,52.5,70,0.29
S,II,1,105,90,0.06
S,II,2,105,95,0.05
S,II,3,105,100,0.04
S,II,4,105,100,0.09
S,II,1,210,100,0.02
S,II,2,210,100,0.02
S,II,3,210,100,0.02
S,II,4,210,100,0.02
S,II,1,420,100,0.02
S,II,2,420,100,0.02
S,II,3,420,100,0.02
S,II,4,420,100,0.02
S,II,1,840,100,0.01
S,II,2,840,100,0.01
S,II,3,840,100,0.01
S,II,4,840,100,0.01
S,II,1,1680,100,0.001
S,II,2,1680,100,0.001
S,II,3,1680,100,0.001
S,II,4,1680,100,0.001